datetime,price,volume,vwap,circulating_supply,realized_value,market_value,mvrv_ratio
2025-05-14 23:04:35.709,176.09370548252747,6045477993.97116,139.19675260967597,531207612.6555071,73942374643.1852,93542316893.0354,1.2650705004326854
2025-05-15 00:09:49.656,176.48633614236638,5796857169.443212,139.24376660605998,531207612.6555071,73967348835.96574,93750885288.50378,1.267463100460869
2025-05-15 01:08:03.036,177.8789171300766,5416004708.926728,139.28955878125012,531207612.6555071,73991673988.0268,94490634910.41476,1.277044156693969
2025-05-15 02:01:28.505,175.30990415742957,5549835158.607393,139.3339245047266,531207612.6555071,74015241398.07848,93125955662.33392,1.2581997154001254
2025-05-15 03:06:31.543,175.95988518923016,4894763786.283208,139.3767248647791,531207612.6555071,74037977275.16277,93471230534.50807,1.262476825739329
2025-05-15 04:04:16.988,174.84683844790723,5234587884.23664,139.4181510153566,531207612.6555071,74059983161.71255,92879971632.27592,1.2541181845730274
2025-05-15 05:04:35.206,174.89204491151844,5159305588.62254,139.4583034049158,531207612.6555071,74081312416.71269,92903985649.88744,1.2540812604303748
2025-05-15 06:09:53.968,173.515169466728,5164356511.597597,139.49707527846485,531207612.6555071,74101908331.09886,92172578931.93631,1.24386241876653
2025-05-15 07:09:29.393,173.34416205462688,5054577937.10599,139.53454336189932,531207612.6555071,74121811662.25087,92081738492.80768,1.2423028583326374
2025-05-15 08:04:47.221,170.94178756639678,4636861707.979743,139.5703564754191,531207612.6555071,74140835860.78546,90805578876.21048,1.224771447771596
2025-05-15 09:09:54.946,172.5994416315174,4979771545.004428,139.6050225062586,531207612.6555071,74159250720.26796,91686137334.7519,1.2363412041553137
2025-05-15 10:01:44.103,170.6967016109985,4880030897.430938,139.6384383332678,531207612.6555071,74177001461.95844,90675387350.94797,1.222419153697534
2025-05-15 11:09:49.684,169.70388849642532,4868276794.402928,139.67063456025704,531207612.6555071,74194104342.83391,90147997466.54247,1.2150291221252472
2025-05-15 12:04:50.921,171.0232046728675,4822982840.735291,139.70188306959807,531207612.6555071,74210703788.87999,90848828262.96811,1.224201141137557
2025-05-15 13:04:56.472,171.4149279028495,4940547229.283946,139.73267807949853,531207612.6555071,74227062332.57092,91056914624.78856,1.226734721317843
2025-05-15 14:04:59.369,170.03766069973304,4889501905.563525,139.7627386884972,531207612.6555071,74243030756.91208,90325299801.83232,1.216616548125266
2025-05-15 15:08:26.878,168.85055317687,4888694299.703238,139.79200294680425,531207612.6555071,74258576153.70349,89694699248.64685,1.207869903982444
